Enzyme1	Enzyme2
A6PS1	A6
A6PS2	A6
A6R	A6
A6	A6PS1
A6PS2	A6PS1
A6R	A6PS1
A6	A6PS2
A6PS1	A6PS2
A6R	A6PS2
A6	A6R
A6PS1	A6R
A6PS2	A6R
ABL2	AAK1
ACTR2	AAK1
ADCK1	AAK1
ADCK3	AAK1
AKT2	AAK1
AKT3	AAK1
ALK	AAK1
ATM	AAK1
ATR	AAK1
AXL	AAK1
BCKDK	AAK1
BCR	AAK1
BIKE	AAK1
BLVRA	AAK1
BMPR1A	AAK1
BMPR2	AAK1
BRAF	AAK1
BRD2	AAK1
BRD4	AAK1
BTK	AAK1
BUB1	AAK1
CAMK1G	AAK1
CAMK2B	AAK1
CAMK2D	AAK1
CAMK2G	AAK1
CAMK4	AAK1
CAMKK1	AAK1
CAMKK2	AAK1
CASK	AAK1
CDC7	AAK1
CDK10	AAK1
CDK13	AAK1
CDK14	AAK1
CDK16	AAK1
CDK19	AAK1
CDK2	AAK1
CDK3	AAK1
CDK4	AAK1
CDK6	AAK1
CDK8	AAK1
CDK9	AAK1
CDKL4	AAK1
CDKL5	AAK1
CLK1	AAK1
CLK2	AAK1
CLK4	AAK1
COL4A3BP	AAK1
DAPK2	AAK1
DDR1	AAK1
DDR2	AAK1
DYRK1A	AAK1
DYRK2	AAK1
DYRK3	AAK1
DYRK4	AAK1
EEF2K	AAK1
EGFR	AAK1
EPHA1	AAK1
EPHA2	AAK1
EPHA4	AAK1
EPHA5	AAK1
EPHA6	AAK1
EPHB1	AAK1
EPHB2	AAK1
EPHB3	AAK1
EPHB4	AAK1
EPHB6	AAK1
ERBB2	AAK1
ERBB3	AAK1
ERBB4	AAK1
FAM20C	AAK1
FASTK	AAK1
FER	AAK1
FES	AAK1
FGFR1	AAK1
FGFR2	AAK1
FGFR3	AAK1
FGFR4	AAK1
FGR	AAK1
FLT3	AAK1
FLT4	AAK1
FYN	AAK1
GAK	AAK1
GSK3B	AAK1
HCK	AAK1
HIPK2	AAK1
HIPK3	AAK1
HSPA5	AAK1
ICK	AAK1
IGF1R	AAK1
IRAK2	AAK1
IRAK4	AAK1
ITK	AAK1
JAK1	AAK1
KDR	AAK1
KSR1	AAK1
LATS2	AAK1
LIMK1	AAK1
LIMK2	AAK1
LRRK1	AAK1
LYN	AAK1
MAK	AAK1
MAP2K3	AAK1
MAP2K5	AAK1
MAP2K6	AAK1
MAP2K7	AAK1
MAP3K1	AAK1
MAP3K4	AAK1
MAP3K5	AAK1
MAP3K7	AAK1
MAP3K8	AAK1
MAP4K4	AAK1
MARK1	AAK1
MARK3	AAK1
MAST4	AAK1
MASTL	AAK1
